"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"09-Aug-2024","29-Oct-2024","XX","-","-","-","-","23,454.95","23,454.95","23,356.10","-","-","-","50","-"
"08-Aug-2024","29-Oct-2024","XX","-","-","-","-","23,454.95","23,454.95","23,213.95","-","-","-","50","-"
"07-Aug-2024","29-Oct-2024","XX","-","23,454.95","23,454.95","23,454.95","23,454.95","23,454.95","23,454.95","25","5,86,373.75","5,86,373.75","50","25"
"06-Aug-2024","29-Oct-2024","XX","-","23,325.00","23,399.95","23,325.00","23,399.95","23,399.95","22,899.55","50","11,68,123.75","11,68,123.75","25","-"
"05-Aug-2024","29-Oct-2024","XX","-","22,733.05","23,255.60","22,733.05","23,255.60","23,255.60","23,151.40","75","17,31,106.25","17,31,106.25","25","25"
"02-Aug-2024","29-Oct-2024","XX","-","-","-","-","23,766.05","-","23,779.65","-","-","-","-","-"
"01-Aug-2024","29-Oct-2024","XX","-","-","-","-","23,766.05","-","23,855.60","-","-","-","-","-"
"31-Jul-2024","29-Oct-2024","XX","-","-","-","-","23,766.05","-","23,836.30","-","-","-","-","-"
