"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"09-Aug-2024","30-Oct-2024","XX","-","51,200.00","52,000.00","51,079.95","51,149.75","51,150.00","51,149.75","41,070","2,10,28,20,669.00","2,10,28,20,669.00","47,205","2,025"
"08-Aug-2024","30-Oct-2024","XX","-","50,845.00","51,107.95","50,588.60","50,812.40","50,790.05","50,812.40","48,255","2,45,42,12,882.25","2,45,42,12,882.25","45,180","1,110"
"07-Aug-2024","30-Oct-2024","XX","-","50,700.00","50,990.10","50,560.75","50,945.25","50,990.00","50,945.25","56,550","2,87,26,35,551.25","2,87,26,35,551.25","44,070","3,060"
"06-Aug-2024","30-Oct-2024","XX","-","51,094.95","51,340.00","50,450.00","50,544.75","50,532.00","50,544.75","70,575","3,58,80,19,638.75","3,58,80,19,638.75","41,010","6,480"
"05-Aug-2024","30-Oct-2024","XX","-","51,444.05","51,606.25","50,478.65","50,792.05","50,741.40","50,792.05","93,630","4,76,97,83,622.00","4,76,97,83,622.00","34,530","15,030"
"02-Aug-2024","30-Oct-2024","XX","-","52,000.00","52,300.00","51,857.85","52,027.45","52,009.45","52,027.45","36,165","1,88,35,79,889.00","1,88,35,79,889.00","19,500","9,240"
"01-Aug-2024","30-Oct-2024","XX","-","52,600.00","52,612.60","52,260.00","52,359.00","52,350.50","52,359.00","31,395","1,64,72,57,573.25","1,64,72,57,573.25","10,260","10,260"
